Tipo,basico/0/value,basico/1/label,basico/1/value,contacto/0/label,contacto/0/value,contacto/1/label,contacto/1/value,contacto/2/label,contacto/2/value,contacto/3/label,contacto/3/value,contacto/4/label,contacto/4/value,tipo
Estación,Estación De Policía Chapinero,CAI,CAI Granada,Número,212 5888,Correo,mebog.cai-granada@policia.gov.co,Dirección,Carrera 3B # 64-00,lat,464694444400,long,-7405666667000,cai
Estación,Estación De Policía Chapinero,CAI,CAI Lourdes,Número,211 1269,Correo,mebog.cai-lourdes@policia.gov.co,Dirección,Calle 64 # 10-00,lat,464916666700,long,-7406277778000,cai
Estación,Estación De Policía Chapinero,CAI,CAI Oxy,Número,217 7555,Correo,mebog.cai-oxi@policia.gov.co,Dirección,Carrera 11 con Calle 77,lat,466166666700,long,-7405555556000,cai
Estación,Estación De Policía Chapinero,CAI,CAI Rosales,Número,211 6777,Correo,mebog.cai-rosales@policia.gov.co,Dirección,Avenida Circunvalar # 76A-00,lat,465611111100,long,-7404888889000,cai
Estación,Estación De Policía Chapinero,CAI,CAI Chapinero,Número,217 7472,Correo,mebog.cai-chapinero@policia.gov.co,Dirección,Calle 60 # 9-12,lat,465527777800,long,-7405611111000,cai
Estación,Estación De Policía Chapinero,CAI,CAI La Calera,Número,632 0840,Correo,mebog.cai-calera@policia.gov.co,Dirección,Kilometro 3.5 Vía La Calera,lat,467583333300,long,-7402666667000,cai
Estación,Estación de Policía Santa Fe,CAI,CAI Girardot,Número,280 1311,Correo,mebog.cai-girardot@policia.gov.co,Dirección,Calle 2 Bis # 2-04,lat,458638888900,long,-7407611111000,cai
Estación,Estación de Policía Santa Fe,CAI,CAI Los Laches,Número,289 6756,Correo,mebog.cai-laches@policia.gov.co,Dirección,Carrera 8 Este con Diagonal 4,lat,458527777800,long,-7406750000000,cai
Estación,Estación de Policía Santa Fe,CAI,CAI Las Cruces,Número,280 4343,Correo,mebog.caicruces@policia.gov.co,Dirección,Carrera 8 con Calle 2,lat,458916666700,long,-7408055556000,cai
Estación,Estación de Policía Santa Fe,CAI,CAI San Victorino,Número,316 304 2506,Correo,mebog.cai-sanvictorino@policia.gov.co,Dirección,Avenida Caracas con Calle 10,lat,460222222200,long,-7408111111000,cai
Estación,Estación de Policía Santa Fe,CAI,CAI San Diego,Número,286 0580,Correo,mebog.cai-sandiego@policia.gov.co,Dirección,Carrera 7 con Calle 26,lat,461194444400,long,-7406972222000,cai
Estación,Estación de Policía Santa Fe,CAI,CAI Telecom,Número,334 0973,Correo,mebog.cai-telecom@policia.gov.co,Dirección,Carrera 13 con Calle 23,lat,461027777800,long,-7407333333000,cai
Estación,Estación de Policía Santa Fe,CAI,CAI Torres Blancas,Número,329 6990,Correo,mebog.cai-torre@policia.gov.co,Dirección,Carrera 3 con Calle 23,lat,460722222200,long,-7406638889000,cai
Estación,Estación de Policía Santa Fe,CAI,CAI Colseguros,Número,329 6992,Correo,mebog.cai-colse@policia.gov.co,Dirección,Carrera 10 con Calle 17,lat,460500000000,long,-7407416667000,cai
Estación,Estación de Policía Santa Fe,CAI,CAI Dorado,Número,333 4782,Correo,mebog.cai-dorado@policia.gov.co,Dirección,Carrera 8 Este con Calle 1a Bis 00,lat,458083333300,long,-7407083333000,cai
Estación,Estación de Policía Santa Fe,CAI,CAI Monserrate,Número,286 9408,Correo,mebog.cai-monserrate@policia.gov.co,Dirección,Av. Circunvalar con Calle 20,lat,460611111100,long,-7406527778000,cai
Estación,Estación de Policía Santa Fe,CAI,CAI Guavio,Número,246 0908,Correo,mebog.cai-guavio@policia.gov.co,Dirección,Calle 6 # 6-37 Este,lat,459055555600,long,-7407083333000,cai
Estación,Estación de Policía Santa Fe,CAI,CAI Mirador,Número,281 0561,Correo,mebog.cai-mirador@policia.gov.co,Dirección,Kilometro 5 Vía Choachi,lat,459138888900,long,-7406444444000,cai
Estación,Estación de Policía San Cristobal,CAI,CAI 20 De Julio,Número,209 2509,Correo,mebog.cai-20dejulio@policia.gov.co,Dirección,Carrera 7 con Calle 22 A Sur,lat,457250000000,long,-7409250000000,cai
Estación,Estación de Policía San Cristobal,CAI,CAI Distrital,Número,313 853 5496,Correo,mebog.cai-distr@policia.gov.co,Dirección,Carrea 8 con Calle 1c Sur,lat,458560144000,long,-7408444245000,cai
Estación,Estación de Policía San Cristobal,CAI,CAI Bello Horizonte,Número,363 4652,Correo,mebog.cai-bellohorizonte@policia.gov.co,Dirección,Carrera 3A con Calle 31 C,lat,455916666700,long,-7409527778000,cai
Estación,Estación de Policía San Cristobal,CAI,CAI Guacamayas,Número,329 6993,Correo,mebog.cai-guacamayas@policia.gov.co,Dirección,Carrera 2A # 38-20 Sur,lat,455527777800,long,-7409527778000,cai
Estación,Estación de Policía San Cristobal,CAI,CAI La Victoria,Número,362 0944,Correo,mebog.cai-lavictoria@policia.gov.co,Dirección,Calle 46b Bis con Carrera 3B,lat,454416666700,long,-7409555556000,cai
Estación,Estación de Policía San Cristobal,CAI,CAI Los Libertadores,Número,365 7914,Correo,mebog.cai-liber@policia.gov.co,Dirección,Calle 56 Sur # 14a-11 Este,lat,453194444400,long,-7408916667000,cai
Estación,Estación de Policía San Cristobal,CAI,CAI Altamira,Número,371 7461,Correo,mebog.cai-altam@policia.gov.co,Dirección,Calle 48 Sur # 13B-20 Este,lat,453694444400,long,-7408583333000,cai
Estación,Estación de Policía San Cristobal,CAI,CAI Juan Rey,Número,365 5111,Correo,mebog.cai-juanr@policia.gov.co,Dirección,Calle 74 Sur con Carrera 15 Este,lat,451717152000,long,-7408979676000,cai
Estación,Estación de Policía San Cristobal,CAI,CAI Ramajal,Número,206 7528,Correo,mebog.cai-ramaj@policia.gov.co,Dirección,Calle 30 # 9a-00 Este,lat,458043253000,long,-7407067472000,cai
Estación,Estación de Policía Usme,CAI,CAI La Aurora,Número,768 4004,Correo,mebog.cai-aurora@policia.gov.co,Dirección,Carrera 3 con Calle 71F Sur,lat,451972222200,long,-7412138889000,cai
Estación,Estación de Policía Usme,CAI,CAI Santa Marta,Número,761 6269,Correo,mebog.cai-satamarta@policia.gov.co,Dirección,Cr 1 B-Bis 68b-54 Sur Este,lat,453944444400,long,-7411277778000,cai
Estación,Estación de Policía Usme,CAI,CAI Santa Librada,Número,767 4263,Correo,mebog.cai-santalibrada@policia.gov.co,Dirección,Calle 75 Sur # 1d-12 Sur,lat,451527777800,long,-7411666667000,cai
Estación,Estación de Policía Usme,CAI,CAI Yomasa,Número,773 4900,Correo,mebog.cai-yomasa@policia.gov.co,Dirección,Carrera 3d Con Calle 91 Sur,lat,451944444400,long,-7409083333000,cai
Estación,Estación de Policía Usme,CAI,CAI Usme,Número,311 266 2508,Correo,mebog.cai-usme@policia.gov.co,Dirección,Carrera 5 Con Cl 6 Usme Centro,lat,459301481000,long,-7407589942000,cai
Estación,Estación de Policía Usme,CAI,CAI Aantonio José De Sucre,Número,763 2944,Correo,N/P,Dirección,Carrera 3 Bis Este Con Calle 111 Sur,lat,449032182000,long,-7411580903000,cai
Estación,Estación de Policía Usme,CAI,CAI Nuevo Porvenir,Número,762 4800,Correo,mebog.cai-porvenir@policia.gov.co,Dirección,Carrera 6 Este Con Calle 100 Sur,lat,449184202000,long,-7410442533000,cai
Estación,Estación de Policía Usme,CAI,CAI Danubio Azul,Número,205 4898,Correo,mebog.cai-danubio@policia.gov.co,Dirección,Transversal 2 Este # 53d-82 Sur,lat,453722222200,long,-7411333333000,cai
Estación,Estación de Policía Tunjuelito,CAI,CAI San Carlos,Número,714 4799,Correo,mebog.cai-sancarlos@policia.gov.co,Dirección,Diagonal 51 con Carrera 18a-20 Sur,lat,456722222200,long,-7412944444000,cai
Estación,Estación de Policía Tunjuelito,CAI,CAI Tunal,Número,714 0985,Correo,mebog.cai-tunal@policia.gov.co,Dirección,Calle 48c con Carrera 24 Sur (Esquina),lat,457638888900,long,-7413027778000,cai
Estación,Estación de Policía Tunjuelito,CAI,CAI Venecia,Número,711 9848,Correo,mebog.cai-venec@policia.gov.co,Dirección,Transv. 44 Sur con Carrera 53 Sur (Esquina),lat,459000000000,long,-7413833333000,cai
Estación,Estación de Policía Bosa,CAI,CAI Villa Del Rio,Número,270 5062,Correo,caivilladelriobosa@hotmail.com,Dirección,Calle 57B Sur # 71b -03,lat,459969780000,long,-7416291410000,cai
Estación,Estación de Policía Bosa,CAI,CAI Piamonte,Número,775 5388,Correo,caipiamontebosa@hotmail.com,Dirección,Carrera 78c con Calle 69B Bis Sur,lat,460222222200,long,-7419027778000,cai
Estación,Estación de Policía Bosa,CAI,CAI Laureles,Número,308 324 4705,Correo,cailaurelesbosa@hotmail.com,Dirección,Carrera 87J con Calle 72 C Sur,lat,460805555600,long,-7419750000000,cai
Estación,Estación de Policía Bosa,CAI,CAI Libertad,Número,783 7267,Correo,cailibertadbosa@hotmail.com,Dirección,Carrera 88C con Calle 59 Sur,lat,462583333300,long,-7419166667000,cai
Estación,Estación de Policía Bosa,CAI,CAI Brasilia,Número,785 9260,Correo,caibrasiliabosa@hotmail.com,Dirección,Carrera 87J con Calle 49c Bis Sur,lat,463000000000,long,-7417888889000,cai
Estación,Estación de Policía Bosa,CAI,CAI La Estación,Número,311 855 7024,Correo,caiestacionbosa@hotmail.com,Dirección,Carrera 77G con Calle 63 Sur,lat,459750000000,long,-7417972222000,cai
Estación,Estación de Policía Bosa,CAI,CAI Antonia Santos,Número,777 8444,Correo,caisantosbosa@hotmail.com,Dirección,Calle 63 con Carrera 81g Sur,lat,461277777800,long,-7418694444000,cai
Estación,Estación de Policía Bosa,CAI,CAI San José,Número,449 4437,Correo,caisanjosebosa@hotmail.com,Dirección,Carrera 80I # 79A Sur,lat,461031433000,long,-7420488197000,cai
Estación,Estación de Policía Bosa,CAI,CAI Metrovivienda,Número,723 4049,Correo,caimetroviviendabosa@hotmail.com,Dirección,Carrera 97 con Calle 69 Sur,lat,463277777800,long,-7420138889000,cai
Estación,Estación de Policía Kennedy,CAI,CAI Plaza De Las Américas,Número,290 4677,Correo,mebog.cai-plaza@policia.gov.co,Dirección,Avenida Boyacá con Av. 1 de Mayo,lat,461888888900,long,-7413888889000,cai
Estación,Estación de Policía Kennedy,CAI,CAI Oneida,Número,293 5095,Correo,mebog.cai-oneida@policia.gov.co,Dirección,Avenida 1 de Mayo # 73-25,lat,461888888900,long,-7414500000000,cai
Estación,Estación de Policía Kennedy,CAI,CAI Patio Bonito,Número,299 9952,Correo,mebog.cai-patiobonito@policia.gov.co,Dirección,Calle 26 Sur con Carrera 87,lat,463888888900,long,-7416083333000,cai
Estación,Estación de Policía Kennedy,CAI,CAI Britalia,Número,293 4903,Correo,mebog.cai-britalia@policia.gov.co,Dirección,Calle 46 Sur con Carrera 81H,lat,462416666700,long,-7417111111000,cai
Estación,Estación de Policía Kennedy,CAI,CAI Caldas,Número,292 6298,Correo,mebog.cai-caldas@policia.gov.co,Dirección,Diagonal 38 con Carrera 80,lat,463250000000,long,-7415472222000,cai
Estación,Estación de Policía Kennedy,CAI,CAI Roma,Número,777 4811,Correo,mebog.cai-roma@policia.gov.co,Dirección,Carrera 80 con Calle 56A,lat,461333333300,long,-7417555556000,cai
Estación,Estación de Policía Kennedy,CAI,CAI Techo,Número,299 7800,Correo,mebog.cai-techo@policia.gov.co,Dirección,Carrera 78B # 0-26,lat,462583333300,long,-7414722222000,cai
Estación,Estación de Policía Kennedy,CAI,CAI Castilla,Número,292 7420,Correo,mebog.cai-astilla@policia.gov.co,Dirección,Calle 9 # 78C-15 Sur,lat,464222222200,long,-7414111111000,cai
Estación,Estación de Policía Kennedy,CAI,CAI Socorro,Número,293 5102,Correo,mebog.cai-socorro@policia.gov.co,Dirección,Carrera 52 Sur con Calle 49,lat,460777777800,long,-7416583333000,cai
Estación,Estación de Policía Kennedy,CAI,CAI Timiza,Número,321 481 2344,Correo,mebog.cai-timiza@policia.gov.co,Dirección,Carrera 74 con Calle 43 Sur,lat,460750000000,long,-7415777778000,cai
Estación,Estación de Policía Kennedy,CAI,CAI Delicias,Número,710 9606,Correo,mebog.cai-delicias@policia.gov.co,Dirección,Av. Boyacá con Calle 44 Sur,lat,459888888900,long,-7414500000000,cai
Estación,Estación de Policía Kennedy,CAI,CAI Villa Claudia,Número,728 4069,Correo,mebog.cai-villaclaudia@policia.gov.co,Dirección,Carrera 68I # 34-00 Sur,lat,460962037000,long,-7413541326000,cai
Estación,Estación de Policía Kennedy,CAI,CAI Bellavista,Número,454 9769,Correo,mebog.cai-bellavista@policia.gov.co,Dirección,Carrera 95 con Calle 42A Sur,lat,464380265000,long,-7417558041000,cai
Estación,Estación de Policía Kennedy,CAI,CAI Tintal,Número,273 1936,Correo,mebog.cai-tintal@policia.gov.co,Dirección,Calle 6D con Carrera 87A-05 Sur,lat,464472222200,long,-7415444444000,cai
Estación,Estación de Policía Kennedy,CAI,CAI Marsella,Número,447 6681,Correo,mebog.cai-marsella@policia.gov.co,Dirección,Trasversal 70 con Calle 9A Sur,lat,463527777800,long,-7412944444000,cai
Estación,Estación de Policía Fontibon,CAI,CAI Granjas,Número,412 7886,Correo,mebog.cai-granja@policia.gov.co,Dirección,Carrera 68d # 21-10,lat,464638888900,long,-7411694444000,cai
Estación,Estación de Policía Fontibon,CAI,CAI Macarena,Número,CONFIRMANDO,Correo,mebog.cai-macarena@policia.gov.co,Dirección,Carrera 114 con Calle 16-99,lat,469555555600,long,-7417166667000,cai
Estación,Estación de Policía Fontibon,CAI,CAI Modelia,Número,410 7676,Correo,mebog.cai-modelia@policia.gov.co,Dirección,Carrera 74 con 24-00,lat,466500000000,long,-7411833333000,cai
Estación,Estación de Policía Fontibon,CAI,CAI Santander,Número,415 9215,Correo,mebog.cai-santander@policia.gov.co,Dirección,Calle 20D con Carrera 96C,lat,467083333300,long,-7413805556000,cai
Estación,Estación de Policía Fontibon,CAI,CAI Versalles,Número,298 7957,Correo,mebog.cai-versalles@policia.gov.co,Dirección,Carrera 109 con Calle 23-31,lat,468500000000,long,-7414333333000,cai
Estación,Estación de Policía Fontibon,CAI,CAI Sabana Grande,Número,421 7431,Correo,mebog.cai-sabana@policia.gov.co,Dirección,Carrera 106 con Calle 14-99,lat,467055555600,long,-7415638889000,cai
Estación,Estación de Policía Fontibon,CAI,CAI Hayuelos,Número,426 0853,Correo,mebog.cai-hayue@policia.gov.co,Dirección,Carrera 80 con Calle 22,lat,466194444400,long,-7412694444000,cai
Estación,Estación de Policía Fontibon,CAI,CAI Ciudad Salitre,Número,263 1016,Correo,mebog.cai-salitre@policia.gov.co,Dirección,Calle 25 # 68D-00,lat,465603273000,long,-7410780992000,cai
Estación,Estación de Policía Engativa,CAI,CAI Aalamos,Número,276 0835,Correo,mebog.cai-alamos@policia.gov.co,Dirección,Transversal 93 # 64G-00,lat,469000000000,long,-7411611111000,cai
Estación,Estación de Policía Engativa,CAI,CAI Bachue,Número,228 6621,Correo,mebog.cai-bachue@policia.gov.co,Dirección,Calle 89 # 95D-75,lat,471527777800,long,-7410138889000,cai
Estación,Estación de Policía Engativa,CAI,CAI EEngativa,Número,442 2228,Correo,mebog.cai-engativa@policia.gov.co,Dirección,Carrera 123 # 64-65,lat,471500000000,long,-7414138889000,cai
Estación,Estación de Policía Engativa,CAI,CAI Ferias,Número,660 3703,Correo,mebog.cai-ferias@policia.gov.co,Dirección,Avenida Calle 72 # 69K-00,lat,468194444400,long,-7409000000000,cai
Estación,Estación de Policía Engativa,CAI,CAI Florida,Número,276 9807,Correo,mebog.cai-flori@policia.gov.co,Dirección,Carrera 90 con Calle 69a-00,lat,469305555600,long,-7410972222000,cai
Estación,Estación de Policía Engativa,CAI,CAI Normandia,Número,295 5919,Correo,mebog.cai-normandia@policia.gov.co,Dirección,Av. Boyacá con Calle 52-00,lat,466916666700,long,-7410638889000,cai
Estación,Estación de Policía Engativa,CAI,CAI Villa Luz,Número,251 0703,Correo,mebog.cai-villaluz@policia.gov.co,Dirección,Carrera 77A con Calle 64B-00,lat,468111111100,long,-7410694444000,cai
Estación,Estación de Policía Engativa,CAI,CAI Serena,Número,224 5535,Correo,mebog.cai-serena@policia.gov.co,Dirección,Avenida Ciudad de Cali #90-00,lat,471006969000,long,-7409446892000,cai
Estación,Estación de Policía Engativa,CAI,CAI Quirigua,Número,276 7763,Correo,mebog.cai-quirigua@policia.gov.co,Dirección,Av. Calle 80 con Transversal 94-00,lat,470777777800,long,-7410722222000,cai
Estación,Estación de Policía Engativa,CAI,CAI Ciudadela Colsubsidio,Número,435 0425,Correo,mebog.cai-ccolsubsidio@policia.gov.co,Dirección,Calle 8A con Carrera 111C,lat,472444444400,long,-7411250000000,cai
Estación,Estación de Policía Engativa,CAI,CAI Villas De Granada,Número,229 5058,Correo,mebog.cai-villasdegranada@policia.gov.co,Dirección,Carrera 112A # 77A-30,lat,471777777800,long,-7412222222000,cai
Estación,Estación de Policía Engativa,CAI,CAI Santa María Del Lago,Número,224 7211,Correo,mebog.cai-santamaria@policia.gov.co,Dirección,Carrera 76 con Calle 75-00,lat,469305555600,long,-7409666667000,cai
Estación,Estación de Policía Engativa,CAI,CAI Jaboque,Número,440 1016,Correo,mebog.cai-engativa@policia.gov.co,Dirección,Calle 67A # 110-00,lat,470356102000,long,-7412922277000,cai
Estación,Estación de Policía Suba,CAI,CAI Aaures,Número,692 2230,Correo,mebog.cai-aures@policia.gov.co,Dirección,Carrera 101 # 131A-00,lat,473416666700,long,-7409583333000,cai
Estación,Estación de Policía Suba,CAI,CAI Andes,Número,226 6898,Correo,mebog.cai-andes@policia.gov.co,Dirección,Avenida Suba con Calle 104,lat,474444444400,long,-7409611111000,cai
Estación,Estación de Policía Suba,CAI,CAI Colina Campestre,Número,226 8881,Correo,mebog.cai-colina@policia.gov.co,Dirección,Avenida Carrera 58 con Calle 131,lat,472111111100,long,-7406750000000,cai
Estación,Estación de Policía Suba,CAI,CAI Gaitana,Número,689 5310,Correo,mebog.cai-gaitana@policia.gov.co,Dirección,Calle 139 # 118-03,lat,474472222200,long,-7410750000000,cai
Estación,Estación de Policía Suba,CAI,CAI Mazuren,Número,669 1648,Correo,mebog.cai-mazuren@policia.gov.co,Dirección,Calle 164 con Carrera 54,lat,473444444400,long,-7403833333000,cai
Estación,Estación de Policía Suba,CAI,CAI El Pinar,Número,681 2338,Correo,mebog.cai-pinar@policia.gov.co,Dirección,Carrera 93 # 152B-50,lat,473361111100,long,-7408111111000,cai
Estación,Estación de Policía Suba,CAI,CAI Rincón,Número,311 479 0697,Correo,mebog.cai-rincon@policia.gov.co,Dirección,Carrera con Calle 128C-10,lat,472305555600,long,-7409083333000,cai
Estación,Estación de Policía Suba,CAI,CAI Guaymaral,Número,676 0076,Correo,mebog.cai-guaymaral@policia.gov.co,Dirección,Avenida Guaymaral a Chía,lat,481750000000,long,-7407333333000,cai
Estación,Estación de Policía Suba,CAI,CAI La Alhambra,Número,637 2437,Correo,mebog.cai-alhambra@policia.gov.co,Dirección,Calle 116 con Carrera 54B,lat,469888888900,long,-7406472222000,cai
Estación,Estación de Policía Suba,CAI,CAI Villa Del Prado,Número,671 6907,Correo,mebog.cai-villaprado@policia.gov.co,Dirección,Calle 172 con Autopista Norte,lat,475472222200,long,-7404694444000,cai
Estación,Estación de Policía Suba,CAI,CAI Tierra Linda,Número,627 8674,Correo,mebog.cai-tierralinda@policia.gov.co,Dirección,Calle 127C # 49-00,lat,471133101000,long,-7405678335000,cai
Estación,Estación de Policía Suba,CAI,CAI Fontanar,Número,693 6376,Correo,mebog.cai-fontanar@policia.gov.co,Dirección,Carrera 136A con Calle 145,lat,475166666700,long,-7410638889000,cai
Estación,Estación de Policía Suba,CAI,CAI San José De Bavaria,Número,670 0066,Correo,mebog.cai-bavaria@policia.gov.co,Dirección,Calle 169 con Avenida Boyacá,lat,475426644000,long,-7406589255000,cai
Estación,Estación de Policía Barrios Unidos,CAI,CAI Modelo,Número,225 7969,Correo,mebog.cai-modelo@policia.gov.co,Dirección,Calle 68 # 56B-41,lat,466694444400,long,-7408000000000,cai
Estación,Estación de Policía Barrios Unidos,CAI,CAI Polo Club,Número,236 6986,Correo,mebog.cai-poloclub@policia.gov.co,Dirección,Carrera 24 Con Calle 86A,lat,467388888900,long,-7406361111000,cai
Estación,Estación de Policía Barrios Unidos,CAI,CAI Rio Negro,Número,226 3121,Correo,mebog.cai-rionegro@policia.gov.co,Dirección,Calle 94 # 65A-29,lat,468277777800,long,-7407166667000,cai
Estación,Estación de Policía Barrios Unidos,CAI,CAI Alcanzares,Número,225 2171,Correo,mebog.cai-alcazares@policia.gov.co,Dirección,Calle 71 con Carrera 24,lat,466166666700,long,-7406805556000,cai
Estación,Estación de Policía Barrios Unidos,CAI,CAI 7 De Agosto,Número,660 2248,Correo,mebog.cai-7agosto@policia.gov.co,Dirección,Carrera 30 con Calle 64,lat,465805555600,long,-7407555556000,cai
Estación,Estación de Policía Teusaquillo,CAI,CAI Eesmeralda,Número,222 2673,Correo,mebog.cai-esmeralda@policia.gov.co,Dirección,Calle 44C # 54-00,lat,464472222200,long,-7409083333000,cai
Estación,Estación de Policía Teusaquillo,CAI,CAI Galerias,Número,217 9190,Correo,mebog.cai-galerias@policia.gov.co,Dirección,Calle 53 # 25-01,lat,464083333300,long,-7407472222000,cai
Estación,Estación de Policía Teusaquillo,CAI,CAI Teusaquillo,Número,288 5252,Correo,mebog.cai-teusaquillo@policia.gov.co,Dirección,Calle 34 # 16-13,lat,462277777800,long,-7407222222000,cai
Estación,Estación de Policía Teusaquillo,CAI,CAI Soledad,Número,288 6685,Correo,mebog.cai-soledad@policia.gov.co,Dirección,Carrera 24 # 41-00,lat,462972222200,long,-7407444444000,cai
Estación,Estación de Policía Teusaquillo,CAI,CAI Federman,Número,222 2252,Correo,mebog.cai-federman@policia.gov.co,Dirección,Carrera 45 # 58A-10,lat,464555555600,long,-7408194444000,cai
Estación,Estación de Policía Teusaquillo,CAI,CAI San Luis,Número,345 7366,Correo,mebog.cai-sanluis@policia.gov.co,Dirección,Calle 60 # 18-50,lat,464611111100,long,-7407027778000,cai
Estación,Estación de Policía Martines,CAI,CAI Samper Mendoza,Número,269 6363,Correo,mebog.cai-samper@policia.gov.co,Dirección,Carrera 22 con Calle 24,lat,461833333300,long,-7407777778000,cai
Estación,Estación de Policía Martines,CAI,CAI Paloquemao,Número,201 2451,Correo,mebog.cai-paloquemao@policia.gov.co,Dirección,Carrera 25 con Calle 17,lat,461277777800,long,-7408638889000,cai
Estación,Estación de Policía Martines,CAI,CAI Ricaurte,Número,201 3344,Correo,mebog.cai-ricaurte@policia.gov.co,Dirección,Calle 10 con Carrera 28,lat,460900872000,long,-7409334044000,cai
Estación,Estación de Policía Martines,CAI,CAI Santa Isabel,Número,201 9299,Correo,mebog.cai-santaisabel@policia.gov.co,Dirección,Carrera 27 con Calle 1f,lat,460900872000,long,-7409334044000,cai
Estación,Estación de Policía Antonio Narino,CAI,CAI Ciudad Berna,Número,280 2578,Correo,mebog.cai-berna@policia.gov.co,Dirección,Calle 11 # 10-03 Sur,lat,458055555600,long,-7409166667000,cai
Estación,Estación de Policía Antonio Narino,CAI,CAI Restrepo,Número,209 0909,Correo,mebog.cai-restrepo@policia.gov.co,Dirección,Diagonal 12 Sur # 16-50,lat,458611111100,long,-7409777778000,cai
Estación,Estación de Policía Antonio Narino,CAI,CAI Valvanera,Número,209 3788,Correo,mebog.cai-valvanera@policia.gov.co,Dirección,Calle 17A Sur # 24G-18,lat,458888888900,long,-7410472222000,cai
Estación,Estación de Policía Antonio Narino,CAI,CAI Villa Mayor,Número,203 1392,Correo,mebog.cai-villamayor@policia.gov.co,Dirección,Calle 36 Sur por Carrera 34D Esquina,lat,459287059000,long,-7412081132000,cai
Estación,Estación de Policía Puente Aranda,CAI,CAI La Alquería,Número,204 6738,Correo,mebog.cai-alqueria@policia.gov.co,Dirección,Calle 43 con Carrera 52C,lat,459583333300,long,-7413555556000,cai
Estación,Estación de Policía Puente Aranda,CAI,CAI Galan,Número,290 4666,Correo,mebog.galan@policia.gov.co,Dirección,Carrera 56 # 3A-96,lat,461944444400,long,-7411944444000,cai
Estación,Estación de Policía Puente Aranda,CAI,CAI Gorgonzola,Número,316 641 3830,Correo,mebog.cai-gorgonzola@policia.gov.co,Dirección,Avenida Calle 6 con Transversal 42A,lat,461805555600,long,-7411305556000,cai
Estación,Estación de Policía Puente Aranda,CAI,CAI Puente Aaranda,Número,446 2117,Correo,mebog.cai-puentearanda@policia.gov.co,Dirección,Calle 8 Sur con Carrera 35 Esquina,lat,463444444400,long,-7411138889000,cai
Estación,Estación de Policía Puente Aranda,CAI,CAI Santa Matilde,Número,202 1630,Correo,mebog.cai-stmatil@policia.gov.co,Dirección,Calle 8 Sur con Carrera 34,lat,460083333300,long,-7411083333000,cai
Estación,Estación de Policía Puente Aranda,CAI,CAI Tejar,Número,320 810 6375,Correo,mebog.cai-tejar@policia.gov.co,Dirección,Av. Carrera 68 con Avenida 1 de Mayo,lat,460861111100,long,-7412805556000,cai
Estación,Estación de Policía Candelaria,CAI,CAI Bolivia,Número,280 4466,Correo,mebog.cai-bolivia@policia.gov.co,Dirección,Carrera 10 con Calle 7,lat,459500000000,long,-7408027778000,cai
